Run ID,Label
2915.0,1.0
2916.0,1.0
2917.0,1.0
2918.0,1.0
2929.0,1.0
2930.0,1.0
2931.0,1.0
2932.0,1.0
2933.0,1.0
2934.0,1.0
2935.0,0.0
2936.0,0.0
2937.0,1.0
2938.0,1.0
2939.0,1.0
2940.0,1.0
2941.0,0.0
2942.0,1.0
2943.0,1.0
3120.0,0.0
3121.0,1.0
3130.0,1.0
3131.0,0.0
3132.0,1.0
3133.0,0.0
3134.0,0.0
3135.0,0.0
3136.0,0.0
3137.0,1.0
3138.0,1.0
3139.0,1.0
3140.0,0.0
3141.0,1.0
3142.0,0.0
3143.0,1.0
3318.0,1.0
3319.0,1.0
3320.0,0.0
3330.0,1.0
3331.0,0.0
3332.0,0.0
3333.0,1.0
3334.0,0.0
3335.0,1.0
3336.0,0.0
3337.0,1.0
3338.0,1.0
3339.0,1.0
3340.0,0.0
3341.0,0.0
3342.0,1.0
3343.0,1.0
